level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
2,2018-04-06,9,120,7,6,162,7
2,2018-04-06,3,17,3,2,57,5
2,2018-04-06,0,59,3,7,22,2
2,2018-04-06,5,107,7,7,355,9
2,2018-04-06,6,50,4,7,159,6
2,2018-04-06,4,13,3,6,15,3
2,2018-04-06,6,84,7,11,128,8
2,2018-04-06,2,168,8,10,188,7
2,2018-04-06,7,34,5,8,149,8
2,2018-04-06,5,55,5,15,194,8
2,2018-04-06,7,130,8,4,204,8
2,2018-04-06,10,36,4,11,178,8
2,2018-04-06,4,83,6,5,172,8
2,2018-04-06,12,223,11,9,158,8
2,2018-04-06,22,179,7,15,235,8
2,2018-04-06,8,92,7,7,148,7
2,2018-04-06,6,168,8,6,274,9
2,2018-04-06,0,5,2,7,107,7
2,2018-04-06,6,183,8,9,489,10
2,2018-04-06,10,76,6,9,139,7
2,2018-04-06,3,9,2,4,162,6
2,2018-04-06,5,104,5,5,195,6
2,2018-04-06,11,100,7,13,207,7
2,2018-04-06,18,351,10,18,597,14
2,2018-04-06,11,81,5,17,165,7
2,2018-04-06,3,30,3,7,387,11
2,2018-04-06,2,38,4,5,123,6
2,2018-04-06,7,71,6,12,238,11
2,2018-04-06,6,187,7,11,297,8
2,2018-04-06,16,67,6,13,183,8
2,2018-04-06,0,157,7,0,202,6
2,2018-04-06,11,205,9,10,143,7
2,2018-04-06,8,88,6,7,185,8
2,2018-04-06,5,124,6,9,265,9
2,2018-04-06,8,124,6,9,174,8
2,2018-04-06,17,421,13,20,545,15
2,2018-04-06,8,77,6,19,203,9
2,2018-04-06,7,135,7,5,125,7
2,2018-04-06,6,11,3,15,67,6
2,2018-04-06,12,163,8,13,215,9
2,2018-04-06,7,106,6,6,115,7
2,2018-04-06,1,41,4,7,232,8
2,2018-04-06,10,191,7,11,232,8
2,2018-04-06,8,151,6,9,289,7
2,2018-04-06,6,105,6,21,432,12
2,2018-04-06,8,63,5,9,133,7
2,2018-04-06,4,70,4,6,125,6
2,2018-04-06,8,32,4,9,97,6
2,2018-04-06,5,85,7,11,162,7
2,2018-04-06,8,131,7,7,177,6
2,2018-04-06,19,126,7,35,458,12
2,2018-04-06,2,21,3,13,87,6
2,2018-04-06,11,198,9,16,515,16
2,2018-04-06,6,67,5,4,133,7
2,2018-04-06,4,95,6,5,171,8
2,2018-04-06,1,21,4,12,155,7
2,2018-04-06,1,103,8,4,247,10
2,2018-04-06,9,233,9,30,682,14
2,2018-04-06,11,149,8,13,342,11
2,2018-04-06,7,75,6,8,110,8
2,2018-04-06,1,183,8,15,467,12
2,2018-04-06,10,174,7,18,393,10
2,2018-04-06,2,85,5,2,165,6
2,2018-04-06,6,127,6,12,140,5
2,2018-04-06,7,123,7,12,179,8
2,2018-04-06,3,16,3,4,118,7
2,2018-04-06,6,198,9,4,399,11
2,2018-04-06,6,101,7,10,154,7
2,2018-04-06,10,50,4,9,233,8
2,2018-04-06,1,15,1,8,91,6
2,2018-04-06,3,122,6,1,155,6
2,2018-04-06,3,50,3,11,119,5
2,2018-04-06,7,64,5,5,133,7
2,2018-04-06,4,112,7,12,142,8
2,2018-04-06,6,148,7,5,339,11
2,2018-04-06,7,20,2,12,147,6
2,2018-04-06,8,126,8,8,133,7
2,2018-04-06,13,158,7,15,280,11
2,2018-04-06,14,103,6,23,210,8
2,2018-04-06,8,70,4,12,212,8
2,2018-04-06,5,173,8,7,220,8
2,2018-04-06,10,108,7,13,172,9
2,2018-04-06,8,87,6,2,135,6
2,2018-04-06,12,94,7,9,328,8
2,2018-04-06,1,26,3,2,173,7
2,2018-04-06,4,64,5,10,105,7
2,2018-04-06,3,145,9,3,255,10
2,2018-04-06,6,49,3,10,158,6
2,2018-04-06,4,187,8,8,207,9
2,2018-04-06,7,31,4,7,142,8
2,2018-04-06,9,166,8,9,454,12
2,2018-04-06,7,168,7,12,358,10
2,2018-04-06,4,66,5,6,246,8
2,2018-04-06,9,43,4,10,174,7
2,2018-04-06,4,74,6,6,185,9
2,2018-04-06,8,62,6,19,129,7
2,2018-04-06,4,116,6,4,196,8
2,2018-04-06,2,75,5,16,1064,11
2,2018-04-06,5,54,4,10,493,6
2,2018-04-06,11,71,5,9,120,5
2,2018-04-06,3,115,5,3,166,6
2,2018-04-06,11,55,4,11,114,6
2,2018-04-06,8,46,5,10,129,7
2,2018-04-06,25,212,10,23,465,14
2,2018-04-06,10,210,9,13,312,11
2,2018-04-06,6,122,5,6,194,8
2,2018-04-06,12,189,9,10,235,10
2,2018-04-06,3,22,4,4,170,6
2,2018-04-06,4,62,4,10,209,8
2,2018-04-06,4,66,5,6,175,6
2,2018-04-06,6,80,6,5,154,8
2,2018-04-06,9,122,5,12,218,8
2,2018-04-06,11,149,7,15,202,8
2,2018-04-06,0,117,8,0,161,9
2,2018-04-06,1,17,3,10,5487,42
2,2018-04-06,3,222,9,8,372,10
2,2018-04-06,6,173,7,9,385,10
2,2018-04-06,11,108,7,12,160,9
2,2018-04-06,1,13,3,3,127,7
2,2018-04-06,3,54,4,12,194,8
2,2018-04-06,16,76,5,17,232,8
2,2018-04-06,6,229,8,7,418,10
2,2018-04-06,4,115,7,6,242,10
2,2018-04-06,12,76,7,13,145,7
2,2018-04-06,9,1336,4,12,1995,6
2,2018-04-06,2,62,5,4,208,7
2,2018-04-06,6,52,5,7,95,6
